language,script,videoEmbed,videoCaption,bibleLink,bibleText,fullFilmLink,fullFilmText,questionsLink,country,readingLanguage
Arabic Gulf,عربي خليجي,https://arc.gt/zeoj6,"شاهد مقطع فيديو من فيلم ""يسوع"" (٣ دقائق)",https://www.bible.com/ar/bible/101/LUK.6.27-49.KEH,إقرأ هذه القصة في الكتاب المقدس,https://www.jesusfilm.org/watch/jesus.html/arabic-gulf.html,"شاهد فيلم ""يسوع"" كاملاً علي يوتيوب",https://www.everyarabstudent.com/,,"Arabic, Modern Standard"
"Arabic, Libyan",عربي ليبي,https://arc.gt/dqzt5,"شاهد مقطع فيديو من فيلم ""يسوع"" (٣ دقائق)",https://www.bible.com/ar/bible/101/LUK.6.27-49.KEH,إقرأ هذه القصة في الكتاب المقدس,https://www.jesusfilm.org/watch/jesus.html/arabic-libyan.html,"شاهد فيلم ""يسوع"" كاملاً علي يوتيوب",https://www.everyarabstudent.com/,,"Arabic, Modern Standard"
"Arabic, Modern Standard (Egyptian)",عربي مصري فصيح,https://arc.gt/7hqe0,"شاهد مقطع فيديو من فيلم ""يسوع"" (٣ دقائق)",https://www.bible.com/ar/bible/101/LUK.6.27-49.KEH,إقرأ هذه القصة في الكتاب المقدس,https://www.jesusfilm.org/watch/jesus.html/arabic-egyptian-modern-standard.html,"شاهد فيلم ""يسوع"" كاملاً علي يوتيوب",https://www.everyarabstudent.com/,,"Arabic, Modern Standard"
"Armenian, Western","Հայկական, արեւմտյան",https://arc.gt/05hf0,Դիտեք այս 3-րոպեանոց տեսահոլովակը <<Հիսուս>> ֆիլմից։,https://www.bible.com/bible/194/luk.6.27-49.WA2017,Կարդացեք այս պատմությունը Աստվածաշնչում։,https://www.jesusfilm.org/watch/jesus.html/armenian-western.html,Դիտեք «ՀԻՍՈՒՍ» ֆիլմն ամբողջությամբ։,https://www.1patasxan.com/,,Armenian
"Balochi, Western",,https://arc.gt/4uq75,یِسُوع کی فلم سے یہ  چھوٹا  کلپ دیکھیں,https://www.bible.com/bible/187/LUK.6.27-49.UGV,بائبل میں اس کہانی کو  پڑھیں,https://www.jesusfilm.org/watch/jesus.html/balochi-western.html,"پر پوری ""یِسُوع"" فلم دیکھیں",https://www.zindagikaysawalat.com/,Afghanistan,Urdu
Chatgaya Chittagonian Common,,https://arc.gt/maklj,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2412/LUK.6.27-49.BCV,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/chatgaya-chittagonian-common.html,Watch the complete JESUS film from the beginning,https://www.everybengalistudent.com/,Bangladesh,Bengali
Chatgaya Chittagonian Muslim,চাটগাঁইয়া বুলি,https://arc.gt/d15dp,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2412/LUK.6.27-49.BCV,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/chatgaya-chittagonian-muslim.html,Watch the complete JESUS film from the beginning,https://www.everybengalistudent.com/,Bangladesh,Bengali
"Chin, Khumi",,https://arc.gt/y8lzu,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2079/LUK.6.27-49.EASY,Read the above story in the Easy English Bible,https://www.jesusfilm.org/watch/jesus.html/chin-khumi.html,Watch the complete JESUS film from the beginning,https://www.everyperson.com/,Myanmar,English
"Chin, Paite",,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_5961-jf6112-0-0&parentSessionId=628be6e59f3923.39692973&apiSessionId=628be6e6c1cf94.88601230&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2079/LUK.6.27-49.EASY,Read the above story in the Easy English Bible,https://arc.gt/a7m8c,Watch the complete JESUS film from the beginning,https://www.everyperson.com/,India,English
Chittagonian,চাটগাঁইয়া,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/chatgaya-chittagonian-common.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2412/LUK.6.27-49.BCV,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/chatgaya-chittagonian-common.html,Watch the complete JESUS film from the beginning,https://www.everystudent.in/,India,English
"Chittagonian, Musselmani",চাটগাঁইয়া বুলি,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/chatgaya-chittagonian-muslim.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2412/LUK.6.27-49.BCV,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/chatgaya-chittagonian-muslim.html,Watch the complete JESUS film from the beginning,https://www.everybengalistudent.com/,Bangladesh,Bengali
"Dinka, Rek",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/dinka-rek.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/242/LUK.6.27-49.DIK,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/dinka-rek.html,Watch the complete JESUS film from the beginning,https://www.everyperson.com/,Sudan,English
"Dogon, Jamsay",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/dogon-jamsay.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2367/LUK.6.27-49.NFC,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/dogon-jamsay.html,Watch the complete JESUS film from the beginning,https://www.questions2vie.com/,Mali,French taught in schools
"Dogon, Tommo So",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/dogon-tommo-so.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2367/LUK.6.27-49.NFC,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/dogon-tommo-so.html,Watch the complete JESUS film from the beginning,https://www.questions2vie.com/,Mali,French taught in schools
"Dogon, Tomo Kan",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/dogon-tomo-kan.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2367/LUK.6.27-49.NFC,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/dogon-tomo-kan.html,Watch the complete JESUS film from the beginning,https://www.questions2vie.com/,Mali,French taught in schools
"Gaelic, Irish",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/gaelic-irish.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/3110/LUK.6.27-49.ABN2012,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/gaelic-irish.html,Watch the complete JESUS film from the beginning,https://www.everyperson.com/,Ireland,English
"Gondi, Aheri",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/gondi-aheri.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2628/MRK.1.ESG,Read the Bible in Gondi,https://www.jesusfilm.org/watch/jesus.html/gondi-aheri.html,Watch the complete JESUS film from the beginning,https://www.everystudent.in/,India,English
"Gurage, West",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/gurage-west.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/1260/LUK.6.27-49.NASV,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/gurage-west.html,Watch the complete JESUS film from the beginning,https://www.habeshastudent.com/,Ethiopia,Amharic taught in schools
Indonesian (Isa),Bahasa Indonesia,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/indonesian-isa.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/199/LUK.6.27-49.AMD,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/indonesian-isa.html,Watch the complete JESUS film from the beginning,https://www.mahasiswakeren.com/,Indonesia,
Judeo-Tajik / Bucharian,"בוכארי, бухорӣ, buxorī",https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/bukharan.html,"Отрывок из фильма ""Иисуса"" (3 мин)",https://www.bible.com/bible/1999/LUK.6.27-49.%D0%A1%D0%A0%D0%9F-2,Прочтите эту историю в Библии,http://youtu.be/AdW23Gtnl3w,"Посмотрите весь фильм ""ИИСУС"" на YouTube.",https://www.mirstudentov.com/,Uzbekistan,Russian?
Kayah Li,ကယား,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/kayah-li-western.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2079/LUK.6.27-49.EASY,Read the above story in the Easy English Bible,https://www.jesusfilm.org/watch/jesus.html/kayah-li-western.html,Watch the complete JESUS film from the beginning,https://www.everyperson.com/,Myanmar,English
Konkani (Mangalorian),,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/mangalorean-konkani.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/1866/LUK.6.27-49.KONKANIBSI,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/mangalorean-konkani.html,Watch the complete JESUS film from the beginning,https://www.everystudent.in/,India,English
"Kurdi, Harwami",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/kurdi-hawrami.html,"این کلیپ کوتاه  از فیلم ""عیسی"" را تماشا کنید. (3 - دقیقه)",https://www.bible.com/bible/2474/LUK.6.27-49.VKF,این داستان را در کتاب مقدس بخوانید,https://www.jesusfilm.org/watch/jesus.html/kurdi-hawrami.html,"فیلم کامل ""عیسا"" را در  مشاهده نمایید",https://www.everypersianstudent.com/,Iran,Farsi
